Country,Age,Occupation,Education_Level,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Depression_Score,Anxiety_Score,Stress_Level,Time_Spent_With_Family_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Self_Reported_Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score
Japan,33,Unemployed,PhD,22339.09,8.12,98,1.54,0.75,2.57,0.93,3.18,6.29,0.84,62.71,47.34,44.01,65.42,3.37,WiFi,Huawei,Yes,High,5.72,Yes,18,79,76.61
Mexico,16,Doctor,High School,32132.87,6.48,51,2.74,-0.05,2.43,1.27,2.36,4.54,0.77,25.31,78.39,94,22.32,1.37,4G,Apple,Yes,High,9.94,Yes,9,140,52.67
UK,36,Engineer,Master's,18520.43,7.64,132,1.36,1.28,0.77,1.81,1.42,5.33,1.25,62.06,15.12,98.94,76.29,0.44,5G,Samsung,No,Moderate,35.39,No,15,92,17.71
Brazil,66,Unemployed,PhD,42976.32,7.15,72,-0.68,1.43,2.94,1.03,0.07,6.23,1.03,29.44,42.51,90.38,14.26,0.21,3G,Apple,No,Low,21.26,Yes,20,87,24.78
UK,31,Engineer,Master's,31112.59,5.73,44,0.17,2.59,1.8,2,1.96,6.98,0.65,89.82,27.68,89.38,39.39,1.34,WiFi,Samsung,Yes,High,28.21,No,20,145,80.14
Mexico,58,Engineer,None,13616.71,4.97,82,1.59,0.59,2.32,1.42,1.6,6.87,0.5,80.87,31.97,68.34,36.14,0.79,4G,Apple,Yes,Severe,22.02,Yes,13,165,18.89
China,56,Manager,PhD,51876.07,6.16,105,-0.53,1.8,0.63,1.54,0.9,7.37,1.22,56.55,40.31,8.76,9.73,2.63,3G,Samsung,No,Severe,17.04,No,12,104,42.33
India,39,Artist,Bachelor's,27344.71,10.01,62,2.66,1.55,1.52,2.25,0.68,8.02,0.97,99.1,33.09,10.38,72.53,0.07,WiFi,Other,No,Severe,38.26,Yes,16,97,54.48
Mexico,14,Salesperson,High School,37368.01,5.74,96,2.08,2.2,0.69,0.96,2.1,8.81,0.64,73.99,44.77,22.93,30.42,0.72,WiFi,Huawei,No,High,14.6,Yes,10,113,8.42
UK,43,Teacher,High School,39142.11,8.71,36,0.14,2.33,0.97,0.88,1.83,7.13,0.78,33.72,68.01,11.77,96.29,1.69,5G,Huawei,Yes,Moderate,3.74,No,16,130,1.38
India,13,Artist,High School,36994.04,4.61,88,2.42,1.7,2.99,1.85,2.12,5.38,1.08,77.76,76.14,22.89,41.86,2.6,WiFi,Apple,Yes,Low,23.81,Yes,17,65,73.91
Germany,54,Doctor,None,14950,5.24,91,0.86,1.69,2.48,2.08,2.89,7.6,1.51,31.03,89.31,28.12,62.76,3.04,5G,Xiaomi,Yes,Low,25.2,No,18,127,86.27
USA,24,Salesperson,PhD,15987.94,6.52,82,3.89,0.93,1.02,1.43,1.55,5.5,-0.35,45.68,88.49,9.28,68.17,2.46,WiFi,Samsung,No,Severe,14.05,Yes,17,136,2.17
USA,21,Doctor,Master's,35265.1,5.31,92,1.68,2.78,1.37,1.31,2.44,6.04,0.63,86.26,75.33,11.82,82.02,0.26,4G,Huawei,No,High,30.13,Yes,8,56,92.27
Japan,40,Artist,Bachelor's,-19435.18,8.75,91,0.95,0.9,1.9,1.93,3.35,6.16,0.08,73.5,36.17,93.04,93.65,1.91,WiFi,Samsung,Yes,Low,11.83,No,17,68,82.59
India,53,Manager,None,48162.19,9.05,42,1.68,1.89,-0.27,2.44,2.16,6.39,1.8,71.2,95.27,37.34,6.67,0.39,5G,Apple,Yes,Low,15.37,No,18,71,2.6
Russia,17,Engineer,Bachelor's,48724.89,8.52,64,0.76,2.4,1.97,0.39,1.61,6.92,1.11,82.83,85.9,34.35,53.37,0.24,3G,Other,Yes,Severe,27.44,No,17,132,76.42
Nigeria,17,Doctor,Master's,504,7.11,7,2.2,1.16,3.57,1.97,1.82,5.81,1.69,95.15,63.71,67.72,43.98,1.01,5G,Xiaomi,No,Low,24.45,Yes,18,131,18
Japan,14,Teacher,High School,2541.71,7.13,24,2.27,1.65,0.33,1.08,1.99,7.04,0.63,77.79,95.28,97.82,47.75,1.67,4G,Apple,Yes,High,7.49,Yes,18,146,44.62
Brazil,49,Artist,Master's,30873.55,4.93,49,2.35,0.57,2.32,2,1.3,6.92,0.89,57.23,28.62,73.64,61.37,1.46,3G,OnePlus,Yes,Low,41.33,No,14,144,68.42
Germany,60,Student,PhD,11935.63,9.66,71,1.47,2.69,0.83,1.66,1.1,5.67,0.47,24.37,38.37,55.28,4.35,1.67,4G,Samsung,No,Low,12.82,No,20,91,14.07
India,57,Salesperson,PhD,28173.3,3.81,78,1.63,0.8,1.64,1.57,3.38,6.7,0.98,16.96,79.47,74.16,30.15,0.76,3G,Huawei,Yes,High,11.27,Yes,16,88,27.39
Japan,67,Teacher,None,19166.46,2.19,68,1.29,4.08,1.11,1.32,3.16,5.24,1.34,53.63,87.82,53.82,20.58,2.6,3G,Samsung,No,Severe,29.73,Yes,13,100,16.96
Nigeria,68,Manager,PhD,37625.43,6.29,128,4.17,1.26,2.12,1.86,2.73,6.79,0.66,61.13,65.78,98,69.23,0.97,4G,Samsung,Yes,Low,23.76,Yes,16,67,72.34
Russia,43,Doctor,Master's,56748.47,2.68,75,1.47,2.96,1.95,1.36,2.72,5.75,1.17,80.2,5.89,32.42,18.5,0.68,5G,Apple,No,Moderate,32.2,Yes,20,117,83.85
India,19,Engineer,PhD,24577.64,4.81,121,0.67,-0.21,2.78,1.96,1.46,5.73,2.35,48.57,52.82,14.13,50.53,1.87,WiFi,Other,Yes,High,8.17,Yes,9,82,63.79
Japan,37,Salesperson,Master's,22624.94,4.32,122,1.34,-0.08,3.09,1.64,2.23,6.97,0.94,31.57,74.44,5.66,45.61,2.4,WiFi,Samsung,Yes,High,23.44,Yes,12,198,21.34
Mexico,22,Doctor,Master's,18971.2,9.1,66,1.74,1.56,1.29,2.16,3.74,6.35,0.25,20.61,13.77,78.04,70.29,2.7,5G,Samsung,No,Low,29.05,Yes,8,110,45.82
Nigeria,58,Unemployed,Master's,46439.59,8.68,90,2.97,2.43,1.14,1.59,2.36,7.72,1.17,64.34,97.32,31.88,30.87,2.88,3G,Huawei,No,High,19.68,Yes,20,132,97.65
Nigeria,36,Artist,Master's,16102.23,7.26,69,1.49,0.79,3.61,1.08,0.43,5.81,0.9,30.24,3.37,85.6,71.44,0.41,5G,Huawei,No,Moderate,5.4,No,17,94,25.37
Germany,67,Teacher,High School,23786.33,6.35,57,0.97,1.72,1.15,1.2,0.97,6.96,0.81,51.01,58.29,13.54,43.93,2.38,3G,Other,Yes,High,20.76,Yes,11,48,94.19
Nigeria,41,Student,Bachelor's,53180.9,6.7,74,2.34,0.66,2.79,1.06,1.43,6.17,1.39,41.19,42.64,41.16,80.63,0.32,3G,Samsung,Yes,Moderate,35.09,No,19,79,43.78
Japan,60,Student,PhD,27263.51,5.11,106,2.47,-0.29,2.6,1.81,2.19,7.37,1.31,87.4,20.49,51.17,23.53,0.37,WiFi,Samsung,No,Low,23.45,No,18,128,65.1
USA,69,Artist,High School,31537.71,7.57,102,1.01,1.85,4.17,2.08,2.65,5.52,1.01,21.04,78.77,82.94,68.94,1.04,5G,Other,Yes,Low,3.4,Yes,20,181,35.44
Mexico,62,Salesperson,None,41561.46,6.88,121,1.35,0.38,2.12,1.35,2.29,6.84,1.1,41.5,57.94,90.2,89.32,0.28,5G,OnePlus,Yes,High,19.57,Yes,9,52,59.34
UK,26,Engineer,Bachelor's,41267.43,5.87,100,1.57,1.15,3.85,2.39,1.2,6.62,1.01,20.37,93.18,55.09,24.83,1.19,3G,Xiaomi,Yes,Low,24.1,No,18,73,78.46
UK,12,Teacher,PhD,40804.4,8.75,74,3.07,0.39,1.41,2.07,3.87,5.56,0.93,52.51,28.97,25.79,72.82,0.06,WiFi,OnePlus,No,Moderate,31.67,No,10,98,57.47
UK,22,Teacher,Bachelor's,20045.99,5.28,80,3.21,-0.44,0.82,1.01,1.14,6.31,1.58,34.49,15.54,85.67,35.64,0.96,5G,Apple,No,Moderate,20.03,No,9,146,73.69
Nigeria,39,Doctor,PhD,47662.15,7.19,50,2.84,2.79,2.39,1.09,1.63,5.95,0.71,39.92,76.15,20.47,17.66,0.91,4G,Other,Yes,Severe,15.26,No,9,129,29.27
India,28,Doctor,PhD,32532.36,6.29,87,3.38,1.33,1.58,1.11,1.93,7.32,0.21,83.06,35.12,74.77,41.81,0.97,5G,Huawei,No,Moderate,13.04,No,12,135,80.08
Russia,31,Salesperson,Master's,25349.61,6.91,145,1.2,-0.78,3.13,1.06,1.39,7.4,-0.07,96.93,34.84,65.3,68.07,0.23,5G,OnePlus,No,High,18.67,No,8,112,25.86
Japan,46,Salesperson,Bachelor's,9713.13,5.27,79,0.73,2.65,2.66,1.48,0.36,6.08,0.25,0.27,68.26,56.5,43.79,1.26,3G,OnePlus,No,Severe,27.91,Yes,19,104,70.21
Germany,49,Artist,None,28794.37,8.15,108,2.47,0.37,2.31,0.83,3.43,5.5,1.44,17.03,13.76,55.73,8.35,1.07,WiFi,Apple,No,Low,24.1,Yes,10,114,51.06
Nigeria,67,Unemployed,None,60613.27,7.95,32,0.16,2.54,2.58,1.8,2.59,5.55,0.7,83.46,40.25,72.77,61.95,1.69,WiFi,Huawei,No,High,29.01,Yes,17,107,9.68
Japan,68,Manager,None,44317.32,8.07,74,1.82,1.46,0.78,1.56,1.11,7.02,1.09,75.84,63.72,72.47,34.09,1.39,4G,OnePlus,Yes,Severe,23.82,Yes,16,112,78.73
Brazil,24,Doctor,PhD,32378.75,5.77,59,2.55,1.97,0.69,1.6,1.47,5.88,0.89,12.71,6.71,32.93,39.24,2.64,4G,Samsung,Yes,High,19.39,No,16,103,48.68
Mexico,59,Manager,Bachelor's,65094.79,7.95,80,2.83,2.21,1.45,0.7,2.65,4.78,0.58,67.25,97.58,80.21,41.69,1.68,3G,Samsung,Yes,High,26.22,No,20,91,49.17
Japan,47,Student,High School,14472.89,6.79,72,1.79,0.54,3.01,1.21,2.11,7.68,0.72,56.06,25.83,26.46,39.59,1.99,WiFi,Huawei,No,Low,37.56,No,13,70,70.57
Mexico,42,Doctor,Master's,20745.53,9.66,92,1.92,1.64,2.08,1.45,2.36,7.18,0.83,22.51,79.99,23.28,90,0.7,3G,OnePlus,No,Low,26.1,Yes,16,87,65.3
China,68,Teacher,High School,28987.98,5.61,48,0.72,1.73,3.58,1.43,1.24,5.6,0.75,87.1,63.3,4.55,10.21,0.85,WiFi,Samsung,Yes,Severe,39.78,No,18,64,92.25
Nigeria,21,Artist,Master's,58955.14,5.78,95,1.67,1.97,1.73,1.39,3.28,7.39,1.67,32.86,62.44,8.29,36.31,1.23,WiFi,OnePlus,No,Moderate,32.05,No,14,76,48.15
Nigeria,51,Teacher,None,21654.28,5.6,40,0.16,2.71,1.71,1.19,2.19,6.17,0.41,77.28,16.48,55.89,19.16,2.07,4G,Samsung,Yes,High,30.9,No,20,63,29.24
Japan,17,Salesperson,High School,36932.58,7,85,4.63,1.64,0.93,1.2,1.42,4.53,1.03,0.02,31.7,32.77,38.01,0.68,3G,Samsung,No,Low,14.68,No,15,84,36.58
Germany,42,Salesperson,Master's,41118.62,5.43,70,2.24,3.53,2.3,2.21,4.26,5.91,0.75,16.95,89.64,42.58,29.11,1.52,4G,Apple,No,Severe,20.72,Yes,15,89,27.94
Germany,65,Unemployed,High School,43628.04,11.68,96,2.09,1.78,1.26,1.84,0.63,6.97,1.24,97.94,31.62,90.44,51.38,1.85,WiFi,OnePlus,Yes,Severe,37.99,Yes,9,94,78.35
India,34,Student,PhD,22988.56,9.1,73,0.96,1.06,0.98,1.64,0.19,7.43,0.29,87.17,56.24,86.51,28.24,2.1,5G,OnePlus,Yes,Severe,35.37,No,16,90,57.28
Russia,40,Engineer,Master's,32864.65,5.94,104,2.16,3.04,1.22,2.31,2.2,7.14,0.66,78.21,50.16,51.97,66.5,-0.09,5G,Huawei,No,Severe,32.19,Yes,19,76,63.91
Germany,54,Artist,Master's,59793.68,8.54,101,1.06,1.12,2.58,1.24,2.65,7.78,1.67,18.95,41.19,43.15,94.96,1.43,3G,OnePlus,Yes,Severe,24.61,No,11,104,11.82
India,63,Student,Master's,27046.3,5.41,85,2.05,1.03,1.72,0.71,2.92,6.31,0,39.32,50.62,59.11,21.71,0.61,WiFi,Xiaomi,No,Moderate,34.77,Yes,13,83,70.11
China,68,Manager,None,18550.01,6.76,79,0.42,1.74,2.14,1.4,0.44,7.44,1.01,7.13,91.03,7.57,17.43,1.66,4G,Apple,Yes,Severe,21.51,No,17,98,5.82
Russia,63,Artist,PhD,39737.63,7.68,67,2.93,1.82,3.15,1.83,1.81,6.64,0.81,38.72,5.95,8.28,90.31,1.75,4G,OnePlus,Yes,Moderate,25.83,No,18,87,7.81
China,56,Salesperson,Bachelor's,47587.97,5.82,65,0.5,1.2,2.02,2.05,1.89,5.73,2.56,75.12,3.58,70.99,52.03,0.88,WiFi,OnePlus,No,Moderate,33.44,Yes,20,96,10.04
Germany,26,Manager,Master's,11803.61,3.57,85,0.16,0.01,3.98,1.69,2.88,7.13,1.1,47.43,44.66,95.52,49.75,2.1,WiFi,Xiaomi,Yes,Severe,21.53,Yes,11,42,60.74
Mexico,69,Engineer,High School,26439.3,7.68,68,2.46,2.8,2.07,2.16,2.96,6.07,0.84,2.28,22.82,97.56,21.72,1.71,4G,Xiaomi,No,Low,16.93,No,13,136,15.95
Mexico,13,Doctor,Master's,47456.49,4.32,93,1.43,1.84,2.11,1.57,1.53,6.93,0.31,32.28,19.02,31.88,85.02,1.39,5G,Other,No,Severe,22.76,Yes,14,116,26.66
Japan,37,Student,PhD,24191.28,6.25,69,4.28,0.45,1.63,1.55,0.9,5.64,0.28,37.11,14.57,4.43,73.23,1.68,5G,Samsung,Yes,Low,28.65,Yes,16,114,52.65
Germany,68,Artist,None,34663.81,5.56,66,0.88,1.95,3.32,1.05,0.66,4.68,0.85,74.39,99.83,63.12,92.03,1.23,3G,Other,No,High,21.32,Yes,13,183,69.23
Nigeria,60,Salesperson,Master's,22230.08,6.87,128,0.79,1.02,2.63,0.96,2.34,7.2,0.84,10.07,9.85,7.24,36.15,3.52,3G,Xiaomi,Yes,Severe,26.72,Yes,19,89,6.19
Brazil,65,Artist,Master's,34885.05,7.89,75,-0.13,2.32,2.53,1.64,2.59,6.94,0.8,39.63,63.16,61.42,76.7,-0.26,4G,OnePlus,Yes,Severe,25.29,No,13,54,55.8
India,28,Manager,High School,37536.79,10.77,85,1.22,0.29,2.54,1.46,1.78,4.67,1.02,1.11,0.82,64.22,66.3,0.27,WiFi,Other,Yes,High,44.84,No,12,39,13.41
China,65,Artist,High School,33653.78,4.54,85,3.04,0.5,0.33,1.19,2.53,7.77,1.73,23.38,38.83,34.36,15.5,1.86,3G,OnePlus,No,Moderate,29.78,No,18,70,80.19
UK,26,Artist,None,13672.22,8.19,39,1.15,1.97,2.17,2.43,1.26,6.95,0.61,95.78,2.27,88.19,81.58,1.1,WiFi,Other,Yes,High,33.76,Yes,12,119,87.39
China,42,Student,None,24533.96,7.16,80,1.42,2.02,1.39,1.31,0.45,6.53,1.66,36.8,65.35,51.74,3.31,2.29,5G,Apple,Yes,High,27.24,Yes,17,103,51.97
India,46,Teacher,Master's,37563.6,5.1,71,0.38,1.98,1.59,2.06,1.25,7.25,0.55,53.61,63.61,90.19,99.28,1.63,4G,Samsung,Yes,High,24.52,Yes,12,68,64.76
China,17,Salesperson,Master's,42515.27,5.28,99,1.96,1.05,-0.14,1.4,2.01,6.06,1.73,29.23,91.81,41.22,51.56,2.01,3G,Samsung,Yes,High,35.97,Yes,8,179,18.31
Nigeria,62,Student,Bachelor's,26973.99,3.72,30,2.71,2.56,2.74,0.49,1.59,8.33,0.93,33.23,99.52,10.04,27.48,0.84,WiFi,Apple,Yes,High,32.91,Yes,13,149,1.7
Japan,25,Unemployed,High School,52585.33,5.07,68,2.75,0.91,1.88,1.4,0.7,6.79,0.93,88.08,48.09,73.04,81.65,1.14,3G,Samsung,No,Moderate,19.02,Yes,12,79,72.15
Nigeria,28,Artist,PhD,7814.94,7.93,59,3.28,1.67,2.18,1.68,3.4,5.54,1.27,22.16,1.7,28.23,20.25,1.53,WiFi,Huawei,No,High,26.35,Yes,12,82,65.69
Japan,65,Doctor,PhD,57158.18,6.56,58,1.84,0.92,2.5,0.98,2.46,7.63,1.11,94.53,86.04,88.7,28.52,0.91,5G,Other,No,Severe,26.32,No,13,132,69.49
Mexico,22,Artist,None,43774.29,6.13,89,2.27,1.69,2.92,1.78,2.87,6.12,0.87,49.7,28.54,29.87,29.53,2.26,4G,Other,Yes,Moderate,5.6,No,19,94,24.46
Nigeria,60,Student,High School,44491.93,8.12,64,0.2,2.24,1.94,2.47,1.87,4.48,0.59,30.93,14.68,52.32,0.63,2.71,5G,Huawei,No,Moderate,-3.88,Yes,17,87,86.04
Russia,29,Student,High School,19404.44,7.28,103,3.38,2.05,2.82,1.61,2.61,4.75,0.17,79.48,23.39,36.81,36.96,2.33,4G,Other,No,Moderate,26.14,No,10,55,40.41
China,35,Unemployed,Master's,36983.68,5.88,103,2.45,2.11,-0.04,0.83,2.79,7.67,1.17,21,82.51,85.26,99.86,1.11,WiFi,Apple,No,Severe,27.92,Yes,20,70,33.32
UK,38,Doctor,High School,15788.31,5.98,34,1.56,1.68,2.52,1.41,3.57,7.01,1.1,92.9,89.85,14.57,45.66,0.56,WiFi,Apple,No,Low,42.64,No,11,130,10.44
UK,56,Salesperson,Master's,38135.03,2.42,69,0.34,0.52,2.83,2.76,2.85,7.25,1.28,0.02,35.74,76,89.49,1.81,3G,Xiaomi,No,Moderate,20.18,No,19,139,34.35
Nigeria,31,Teacher,High School,37119.7,6.15,70,1.57,0.56,1.23,1.52,1.94,6.58,1.12,28.07,60.8,8.89,80.04,2.36,3G,Other,No,Severe,26.37,Yes,20,139,64.82
Brazil,46,Engineer,None,21277.66,2.11,51,2.49,2,2.74,1.73,2.43,6.17,1.05,9.05,81.1,23.33,24.86,1.92,5G,Apple,Yes,Severe,36.68,No,16,68,26.67
USA,18,Student,None,10427.98,8.88,73,2.64,1.78,3.01,1.84,0.78,6.38,1.9,17.76,89.93,40.01,30.1,1.72,5G,Apple,Yes,Moderate,14.6,No,9,61,57.72
China,30,Manager,None,18210.16,7.54,120,1.52,2.8,3.79,1.18,2.53,6.86,2.46,20.37,87.86,36.96,8.37,1.2,WiFi,OnePlus,No,Moderate,30.4,No,12,93,24.12
Germany,28,Manager,None,29502.45,2.49,62,3.67,0.48,1.73,1.82,2.91,8.88,1.12,48.57,34.51,68.18,30.89,1.68,4G,Other,No,High,13.38,No,17,58,23.55
Germany,68,Engineer,High School,42802.14,3.32,78,1.48,3.4,0.06,1.96,3.06,7.55,0.62,52.16,96.28,86.28,51.66,2.11,WiFi,OnePlus,Yes,High,18.41,Yes,15,114,43.19
Russia,23,Artist,High School,34731.25,7.83,42,3.09,1.61,2.76,1.31,4.11,6.91,1.11,33.63,63.04,49.45,68.24,1.39,4G,Samsung,No,Moderate,35.25,Yes,19,122,15.39
USA,59,Teacher,High School,35361.13,2.83,70,3.01,1.96,2.93,1.77,3.56,5.49,1.93,61.65,57.88,11.83,57.15,0.32,4G,Huawei,Yes,High,16.63,Yes,10,137,23.26
Germany,35,Manager,None,27182.83,3.52,74,0.48,1.28,-0.39,1.54,1.93,5.78,1.2,44.88,59.62,10.99,43.48,2.29,WiFi,Huawei,No,Moderate,31.56,No,15,120,75.85
USA,62,Salesperson,Master's,37021.4,9.02,98,3.13,1.83,0.66,1.74,3.41,7.69,0.24,51.69,85.9,64.29,60.2,2.03,WiFi,Other,Yes,High,29.32,No,17,116,1.41
UK,65,Student,High School,31986.58,6.37,89,1.66,-0.55,0.29,0.79,0.62,8.08,1.23,56.32,35.97,20.02,23.5,0.67,5G,Apple,Yes,Severe,12.97,No,18,96,17.34
Brazil,16,Artist,Bachelor's,12547.06,1.57,94,1.01,2.07,1.38,1.53,3.41,6.52,0.8,54.54,97.06,91.08,46.58,1.56,5G,Samsung,Yes,High,17.46,No,17,96,0.18
USA,25,Salesperson,Master's,28094.65,5.5,89,-0.04,2.87,2.76,2.23,1.88,6.71,1.43,33.66,92.25,21.3,50.12,1.23,4G,Samsung,No,Severe,42.69,Yes,20,95,2.84
India,50,Salesperson,PhD,42265.36,7.46,79,2.29,2.8,0.19,1.95,1.98,7.78,1.59,90.39,22.44,53.45,69.01,1.13,4G,Apple,No,Severe,30.06,Yes,13,140,77.57
Japan,57,Engineer,PhD,65170.52,9.73,129,2.03,1.25,2.61,1.44,2.92,7.08,2.46,49.45,63.24,45.23,45.78,2.3,5G,Huawei,No,High,16.07,No,13,106,75.7
Brazil,60,Unemployed,PhD,19180.34,5.4,101,1.47,1.33,2.17,1,3.02,7.91,0.76,88.78,17.76,97.28,53.81,1.42,3G,Xiaomi,Yes,High,16.62,Yes,8,104,16.53
UK,52,Artist,Bachelor's,23797.15,6.95,91,1.69,0.14,2.78,1.92,4.17,8.91,1.67,0.7,25.47,63.71,4.73,1.87,WiFi,Huawei,No,High,13.91,No,16,72,72.38
Russia,31,Teacher,Bachelor's,26216.24,2.49,76,0.71,2.27,1.02,1.01,2.32,7.69,1.84,66.57,14.29,60.46,63.99,2.59,5G,OnePlus,Yes,High,27.88,Yes,17,98,63.61
China,43,Manager,Bachelor's,47517.35,4.84,109,1.92,-0.15,2.5,0.25,2.1,7.48,0.84,91,83.17,15.52,51.97,1.51,3G,OnePlus,No,High,33.01,No,12,97,6.08
Nigeria,46,Student,Master's,47614.59,4.04,95,2.75,2,0.36,1.79,1.51,5.43,0.99,90.96,81.14,78.95,49.53,0.54,4G,Apple,No,Severe,16.03,Yes,8,148,88.61
USA,20,Engineer,Master's,41700.46,5.94,88,2.75,-1.09,1.81,1.33,3.4,7.07,0.55,37.13,25.04,80.38,10.3,1.7,WiFi,Other,Yes,Severe,31.36,Yes,15,113,41.78
Nigeria,30,Student,High School,32634.17,3.43,98,1.85,0.21,2.88,1.01,2.7,6.17,1.22,25.59,22.14,83.98,86.58,1.74,5G,Other,No,High,40.63,No,19,97,40.49
Japan,70,Doctor,High School,31819.38,5.61,95,3.04,-0.21,4.13,1.58,3.19,5.99,1.45,57.32,87.19,57.3,75.67,1.52,3G,Samsung,Yes,Severe,30.94,No,9,110,14.52
UK,33,Salesperson,High School,30239.94,8.49,86,1.83,0.18,2.47,1.97,2.81,4.22,0.95,17.66,23.98,5.71,1.37,0.37,5G,Other,Yes,Severe,16.63,Yes,16,91,73.53
Nigeria,52,Manager,None,8482.3,4.55,53,1.83,2.82,3.71,2.02,0.63,7.26,0.43,4.99,85.37,14.99,80.05,0.76,3G,Other,Yes,Low,17.98,Yes,13,101,87.67
India,49,Engineer,None,-9649.7,9.56,79,1.57,0.69,3.01,1.62,1.64,6.5,0.28,76.49,95.45,53.36,35.35,0.76,5G,OnePlus,No,Low,33.37,Yes,15,125,59.68
Nigeria,30,Unemployed,Master's,37882.47,5.57,88,2.93,2.5,0.22,0.89,3.14,4.86,1.72,34.32,80.14,64,15.31,2.38,4G,Xiaomi,No,Low,19.46,Yes,8,92,57.77
Nigeria,15,Manager,None,57338.82,6.04,74,0.57,1.89,1.06,1.95,0.63,6.01,0.78,71.95,41.58,37.19,15.95,2.49,3G,Apple,No,Moderate,24.59,Yes,15,68,32.3
Russia,17,Engineer,Master's,29990.71,7.48,100,2.88,1.76,1.48,1.72,0.15,5.72,0.66,81.87,61.91,67.68,68.11,2.93,4G,Samsung,Yes,Low,37.71,Yes,10,74,55.67
Nigeria,18,Salesperson,Bachelor's,13546.13,4.52,87,2.42,1.59,3.13,1.24,2.32,7.6,0.81,27.97,70.72,6.56,18.5,2.39,4G,Huawei,Yes,Severe,15.95,Yes,20,70,67.42
UK,55,Artist,PhD,25616.62,2.59,59,3.52,2.09,4.31,1.79,1.26,7.21,1.74,9.99,15.55,36.05,70.08,0.78,WiFi,Samsung,No,High,10.7,Yes,13,122,73.21
USA,57,Student,High School,37125.02,3.92,129,1.59,0.67,2.3,1.34,3.46,4.91,1.53,74.62,13.09,37.42,86.45,-0.73,5G,Other,Yes,High,34.52,No,8,138,73.9
Brazil,48,Teacher,PhD,31289.92,8.03,81,2.36,-0.21,2.87,2.82,0.03,6.67,1.19,72.55,20.82,1.45,30.9,0.66,WiFi,Xiaomi,Yes,Severe,36.85,Yes,8,79,10.05
UK,69,Artist,PhD,13402.21,4.65,71,3.95,1.11,0.49,1.6,1.71,4.53,1.33,39.58,21.06,55.51,15.92,3.58,4G,Huawei,Yes,High,26.18,Yes,17,110,28.31
Germany,40,Teacher,None,50838.98,6.99,96,1.66,3.01,1.25,1.85,3.78,6.74,0.89,14.17,74.17,48.51,94.56,1.98,WiFi,Other,No,Moderate,35.64,Yes,10,100,99
Japan,33,Artist,PhD,16641.3,6.64,104,4.84,1.14,1.62,1.85,1.76,6.05,0.39,68.58,34.38,18.52,4.03,2.04,4G,Samsung,Yes,Low,11.19,No,20,85,8.81
Russia,50,Engineer,High School,47433.63,5.52,72,1.16,-0.46,3.97,1.67,3.02,5.28,0.35,26.6,38.34,44.99,2.68,0.32,4G,OnePlus,Yes,Moderate,22.57,No,10,100,55.83
India,49,Artist,None,52141.42,4.05,81,2.58,1.67,3.22,1.55,3.02,5.97,2.25,5.67,24.8,70.03,77.47,1.82,WiFi,Xiaomi,Yes,Severe,25.97,Yes,17,93,11.93
Germany,47,Engineer,Master's,15198.67,6.09,81,3.08,2.33,2.95,1.88,2.06,6.32,0.97,45.57,82.47,3.41,7.9,0.68,WiFi,Huawei,No,Severe,12.55,Yes,8,99,92.4
Germany,60,Student,Master's,22139.75,5.42,56,2.96,1.74,2.57,1.72,3.07,6.71,0.98,41.27,22.05,75.65,44.67,0.95,4G,OnePlus,No,Moderate,34.47,No,14,141,4
China,47,Student,PhD,31062.84,5.61,88,0.39,0.59,2.4,2.05,3.06,5.65,1.64,84.92,88.94,56.11,72.24,2.09,4G,Huawei,Yes,High,10.05,Yes,14,55,17.03
India,58,Teacher,High School,35344.37,8.5,118,2.13,1.03,0.45,2.36,0.89,7.16,0.65,69.95,86.46,14.69,98.25,1.83,4G,Huawei,No,Low,22.28,No,16,110,85.59
Brazil,25,Teacher,Master's,36665.29,7.64,90,3.82,1.62,1.68,1.27,2.95,6.28,0.74,18.71,15.79,5.74,50.12,0.05,3G,Other,No,Moderate,21.74,No,18,54,44.49
Japan,29,Salesperson,High School,22482.97,7.85,70,0.67,2.35,1.08,0.67,4.42,6.26,1.01,41.06,25.41,47.83,51.93,0.79,5G,Other,Yes,High,13.26,Yes,19,159,10.39
Russia,69,Teacher,None,32848.65,3.23,69,3.3,3.13,2.17,0.78,2.52,8.85,1.44,48.56,13.9,95.15,93.4,1.11,4G,OnePlus,No,Low,31.74,No,16,92,8.68
USA,56,Unemployed,High School,26805.8,4.49,64,2.4,3.19,1.27,1.53,3.98,6.19,1.06,29.32,48.75,70.37,29.83,0.83,4G,Apple,No,Low,17.74,No,13,95,67.75
Brazil,62,Engineer,PhD,33825.94,5.92,83,0.59,1.13,0.93,2.36,-0.55,6.22,1.74,20.12,79.18,50.86,68.53,1.83,WiFi,Huawei,No,Severe,32.21,Yes,20,89,2.38
